order_id,order_created_at,website_session_id,user_id_x,primary_product_id,items_purchased,order_price_usd,order_cogs_usd,session_created_at,user_id_y,is_repeat_session,utm_source,utm_campaign,utm_content,device_type,http_referer,order_item_id,order_item_created_at,product_id,is_primary_item,item_price_usd,item_cogs_usd,order_item_refund_id,refund_created_at,refund_amount_usd,product_launched_at,product_name
1,2012-03-19 10:42:46,20,20,1,1,49.99,19.49,2012-03-19 10:22:58,20,0,gsearch,nonbrand,g_ad_1,desktop,https://www.gsearch.com,1,2012-03-19 10:42:46,1,1,49.99,19.49,,,,2012-03-19 08:00:00,The Original Mr. Fuzzy
2,2012-03-19 19:27:37,104,104,1,1,49.99,19.49,2012-03-19 19:14:04,104,0,gsearch,nonbrand,g_ad_1,desktop,https://www.gsearch.com,2,2012-03-19 19:27:37,1,1,49.99,19.49,,,,2012-03-19 08:00:00,The Original Mr. Fuzzy
3,2012-03-20 06:44:45,147,147,1,1,49.99,19.49,2012-03-20 06:21:56,147,0,gsearch,nonbrand,g_ad_1,desktop,https://www.gsearch.com,3,2012-03-20 06:44:45,1,1,49.99,19.49,,,,2012-03-19 08:00:00,The Original Mr. Fuzzy
4,2012-03-20 09:41:45,160,160,1,1,49.99,19.49,2012-03-20 09:23:55,160,0,gsearch,nonbrand,g_ad_1,desktop,https://www.gsearch.com,4,2012-03-20 09:41:45,1,1,49.99,19.49,,,,2012-03-19 08:00:00,The Original Mr. Fuzzy
5,2012-03-20 11:28:15,177,177,1,1,49.99,19.49,2012-03-20 11:15:15,177,0,gsearch,nonbrand,g_ad_1,desktop,https://www.gsearch.com,5,2012-03-20 11:28:15,1,1,49.99,19.49,,,,2012-03-19 08:00:00,The Original Mr. Fuzzy
6,2012-03-20 16:12:47,232,232,1,1,49.99,19.49,2012-03-20 15:54:22,232,0,gsearch,nonbrand,g_ad_1,desktop,https://www.gsearch.com,6,2012-03-20 16:12:47,1,1,49.99,19.49,,,,2012-03-19 08:00:00,The Original Mr. Fuzzy
7,2012-03-20 17:03:41,241,241,1,1,49.99,19.49,2012-03-20 16:46:01,241,0,gsearch,nonbrand,g_ad_1,desktop,https://www.gsearch.com,7,2012-03-20 17:03:41,1,1,49.99,19.49,,,,2012-03-19 08:00:00,The Original Mr. Fuzzy
8,2012-03-20 23:35:27,295,295,1,1,49.99,19.49,2012-03-20 23:23:40,295,0,gsearch,nonbrand,g_ad_1,desktop,https://www.gsearch.com,8,2012-03-20 23:35:27,1,1,49.99,19.49,,,,2012-03-19 08:00:00,The Original Mr. Fuzzy
9,2012-03-21 02:35:01,304,304,1,1,49.99,19.49,2012-03-21 02:16:10,304,0,gsearch,nonbrand,g_ad_1,desktop,https://www.gsearch.com,9,2012-03-21 02:35:01,1,1,49.99,19.49,,,,2012-03-19 08:00:00,The Original Mr. Fuzzy
10,2012-03-21 06:45:58,317,317,1,1,49.99,19.49,2012-03-21 06:30:14,317,0,gsearch,nonbrand,g_ad_1,mobile,https://www.gsearch.com,10,2012-03-21 06:45:58,1,1,49.99,19.49,,,,2012-03-19 08:00:00,The Original Mr. Fuzzy
11,2012-03-21 07:28:02,321,321,1,1,49.99,19.49,2012-03-21 07:11:43,321,0,gsearch,nonbrand,g_ad_1,mobile,https://www.gsearch.com,11,2012-03-21 07:28:02,1,1,49.99,19.49,,,,2012-03-19 08:00:00,The Original Mr. Fuzzy
12,2012-03-21 08:21:33,327,327,1,1,49.99,19.49,2012-03-21 07:58:18,327,0,gsearch,nonbrand,g_ad_1,desktop,https://www.gsearch.com,12,2012-03-21 08:21:33,1,1,49.99,19.49,,,,2012-03-19 08:00:00,The Original Mr. Fuzzy
13,2012-03-21 08:45:32,332,332,1,1,49.99,19.49,2012-03-21 08:29:38,332,0,gsearch,nonbrand,g_ad_1,desktop,https://www.gsearch.com,13,2012-03-21 08:45:32,1,1,49.99,19.49,,,,2012-03-19 08:00:00,The Original Mr. Fuzzy
14,2012-03-21 09:12:05,336,336,1,1,49.99,19.49,2012-03-21 08:56:05,336,0,gsearch,nonbrand,g_ad_1,desktop,https://www.gsearch.com,14,2012-03-21 09:12:05,1,1,49.99,19.49,,,,2012-03-19 08:00:00,The Original Mr. Fuzzy
15,2012-03-21 16:40:06,428,428,1,1,49.99,19.49,2012-03-21 16:23:54,428,0,gsearch,nonbrand,g_ad_1,desktop,https://www.gsearch.com,15,2012-03-21 16:40:06,1,1,49.99,19.49,,,,2012-03-19 08:00:00,The Original Mr. Fuzzy
16,2012-03-21 17:13:05,434,434,1,1,49.99,19.49,2012-03-21 16:51:07,434,0,gsearch,nonbrand,g_ad_1,desktop,https://www.gsearch.com,16,2012-03-21 17:13:05,1,1,49.99,19.49,,,,2012-03-19 08:00:00,The Original Mr. Fuzzy
17,2012-03-21 20:28:11,465,465,1,1,49.99,19.49,2012-03-21 20:08:13,465,0,gsearch,nonbrand,g_ad_1,mobile,https://www.gsearch.com,17,2012-03-21 20:28:11,1,1,49.99,19.49,,,,2012-03-19 08:00:00,The Original Mr. Fuzzy
18,2012-03-22 06:15:33,507,507,1,1,49.99,19.49,2012-03-22 06:02:32,507,0,gsearch,nonbrand,g_ad_1,desktop,https://www.gsearch.com,18,2012-03-22 06:15:33,1,1,49.99,19.49,,,,2012-03-19 08:00:00,The Original Mr. Fuzzy
19,2012-03-22 10:03:49,536,536,1,1,49.99,19.49,2012-03-22 09:47:19,536,0,gsearch,nonbrand,g_ad_1,desktop,https://www.gsearch.com,19,2012-03-22 10:03:49,1,1,49.99,19.49,,,,2012-03-19 08:00:00,The Original Mr. Fuzzy
20,2012-03-22 17:49:57,615,615,1,1,49.99,19.49,2012-03-22 17:30:44,615,0,gsearch,nonbrand,g_ad_1,desktop,https://www.gsearch.com,20,2012-03-22 17:49:57,1,1,49.99,19.49,,,,2012-03-19 08:00:00,The Original Mr. Fuzzy
21,2012-03-22 20:33:40,639,639,1,1,49.99,19.49,2012-03-22 20:10:25,639,0,gsearch,nonbrand,g_ad_1,desktop,https://www.gsearch.com,21,2012-03-22 20:33:40,1,1,49.99,19.49,,,,2012-03-19 08:00:00,The Original Mr. Fuzzy
22,2012-03-23 12:09:46,732,732,1,1,49.99,19.49,2012-03-23 11:52:04,732,0,gsearch,nonbrand,g_ad_1,desktop,https://www.gsearch.com,22,2012-03-23 12:09:46,1,1,49.99,19.49,,,,2012-03-19 08:00:00,The Original Mr. Fuzzy
